LSP name,Overall SLA Compliance,Pick Up Compliance,Customer Order sequence,Key Accounts,Customer Status for the month,Total Delay Days,Pick up delay Days,Net Revenue,Total Actual Weight (kg),Total goods Invoice Value,churned
1,0,1,1.0,1,3,3.0,-5.0,1815.45,50.0,44800.0,1
1,0,0,1.0,1,3,0.0,-2.0,679.25,40.0,30711.0,1
1,0,0,1.0,1,3,-1.0,-3.0,14237.45,1000.0,468460.0,1
0,1,1,1.0,1,3,3.0,12.0,4929.55,100.0,20000.0,0
1,1,1,2.0,1,3,1.0,3.0,8358.0,770.0,831900.0,1
3,1,0,1.0,1,3,0.0,2.0,542.45,25.0,6000.0,0
1,1,0,1.0,1,3,0.0,6.0,1448.75,55.0,24000.0,1
0,0,0,1.0,1,3,0.0,-1.0,729.0,25.0,16000.0,1
1,0,0,1.0,1,3,-2.0,-3.0,623.2,19.0,2000.0,1
1,0,1,1.0,1,3,1.0,-5.0,8519.0,450.0,3068100.0,1
1,1,1,1.0,1,3,2.0,1.0,1862.0,130.0,250000.0,1
0,0,1,2.0,1,3,1.0,0.0,643.0,49.0,32450.0,0
1,0,1,1.0,1,3,1.0,-1.0,6946.4,308.0,1403600.0,1
3,0,0,1.0,1,3,0.0,-1.0,5652.15,300.0,118000.0,1
3,1,1,1.0,1,3,4.0,1.0,571.0,40.0,11850.0,1
1,1,0,1.0,1,3,0.0,6.0,2195.45,95.0,40002.0,0
1,0,0,1.0,1,3,-1.0,-1.0,10809.1,428.0,467457.0,1
1,1,0,2.0,1,3,0.0,2.0,1229.0,100.0,29500.0,0
1,0,0,1.0,1,3,0.0,-1.0,596.0,27.0,24400.0,0
0,0,0,3.0,1,3,-1.0,-1.0,837.0,50.0,10000.0,1
3,0,0,1.0,1,3,0.0,-3.0,2199.0,220.0,58700.0,0
0,0,0,1.0,1,3,0.0,-2.0,2373.0,145.0,12240.0,1
1,1,0,2.0,1,3,0.0,1.0,1075.0,22.0,16300.0,0
0,0,0,2.0,1,3,-1.0,-2.0,3620.45,260.0,879041.0,1
1,0,0,1.0,1,3,0.0,-1.0,736.25,19.0,731000.0,1
0,0,0,1.0,1,3,-1.0,-3.0,4932.4,300.0,18542.0,1
1,0,0,3.0,1,3,0.0,-2.0,699.0,25.0,15000.0,0
1,0,0,2.0,1,3,0.0,-1.0,1386.0,60.0,38940.0,0
1,1,1,1.0,1,3,3.0,4.0,1890.0,100.0,78900.0,1
0,0,0,1.0,1,3,0.0,0.0,1624.0,120.0,115000.0,1
2,1,1,1.0,1,3,1.0,3.0,1234.05,177.0,161905.0,1
1,0,0,1.0,1,3,-3.0,-4.0,1482.0,70.0,17177.0,0
1,0,0,2.0,1,3,-3.0,-4.0,6149.0,250.0,45505.0,0
0,0,0,4.0,1,3,0.0,-1.0,923.4,37.0,35018.0,0
0,0,0,1.0,1,3,0.0,-8.0,2616.0,90.0,276300.0,1
0,1,0,2.0,1,3,0.0,3.0,2071.0,100.0,46004.0,1
0,0,1,2.0,1,3,3.0,-6.0,1411.7,28.0,87840.0,1
0,0,1,3.0,1,3,2.0,-6.0,1486.0,12.0,56700.0,1
6,0,1,4.0,1,3,1.0,-4.0,2676.0,50.0,125640.0,1
0,0,1,5.0,1,3,2.0,-7.0,1486.0,9.0,37800.0,1
0,0,1,6.0,1,3,2.0,0.0,798.0,30.0,106740.0,1
1,0,0,7.0,1,3,-1.0,-5.0,4872.0,70.0,238500.0,1
1,1,0,3.0,1,3,-1.0,2.0,944.0,50.0,16490.0,0
6,0,1,8.0,1,3,1.0,-5.0,1909.0,45.0,150660.0,1
1,0,0,1.0,1,3,0.0,0.0,617.0,25.0,42000.0,1
3,0,1,3.0,1,3,2.0,-1.0,571.0,25.0,25000.0,1
1,0,0,9.0,1,3,0.0,0.0,596.0,36.0,75600.0,1
1,0,0,4.0,1,3,-1.0,-2.0,4253.0,400.0,500000.0,1
0,1,1,10.0,1,3,1.0,1.0,1103.0,45.0,150660.0,1
1,0,0,11.0,1,3,0.0,0.0,596.0,36.0,75600.0,1
0,0,1,12.0,1,3,1.0,0.0,984.0,40.0,131760.0,1
1,1,0,4.0,1,3,0.0,2.0,656.0,20.0,5418.0,0
3,1,1,13.0,1,3,2.0,5.0,1059.0,64.0,163440.0,1
0,0,0,14.0,1,3,0.0,-5.0,1486.0,10.0,18900.0,1
0,0,0,3.0,1,3,0.0,-1.0,859.0,80.0,20000.0,1
0,0,0,4.0,1,3,0.0,0.0,1326.0,140.0,198800.0,1
1,0,0,5.0,1,3,-2.0,0.0,2723.0,150.0,47913.0,0
3,1,0,3.0,1,3,0.0,1.0,636.0,80.0,26700.0,0
0,0,0,1.0,1,3,-1.0,-2.0,1464.9,100.0,49324.0,1
0,0,0,1.0,1,3,-1.0,-2.0,1696.0,256.0,21600.0,0
1,0,0,5.0,1,3,-1.0,-1.0,4246.5,450.0,302375.0,1
1,0,0,1.0,1,3,0.0,-1.0,2244.85,202.0,1437515.0,1
0,0,0,15.0,1,3,0.0,-1.0,1112.0,45.0,125640.0,1
0,0,0,16.0,1,3,0.0,-8.0,1846.0,45.0,125640.0,1
0,0,0,17.0,1,3,0.0,-6.0,780.0,20.0,37800.0,1
0,0,0,2.0,1,3,0.0,-1.0,988.0,100.0,47200.0,1
2,1,1,4.0,1,3,2.0,4.0,3902.0,400.0,20000.0,1
1,0,0,2.0,1,3,0.0,-1.0,3248.0,180.0,11800.0,1
1,0,0,5.0,1,3,-2.0,-4.0,623.2,41.0,10000.0,1
1,0,0,1.0,1,3,0.0,0.0,6852.35,25.0,314540.0,1
1,0,0,1.0,1,3,0.0,0.0,5904.05,30.0,57320.0,1
0,1,1,2.0,1,3,2.0,7.0,1031.0,44.0,200.0,0
0,0,0,3.0,1,3,0.0,-2.0,1031.0,44.0,200.0,0
1,0,0,5.0,1,3,0.0,-2.0,793.0,23.0,12000.0,0
0,0,0,2.0,1,3,0.0,-1.0,1185.6,80.0,63838.0,0
3,0,0,4.0,1,3,-1.0,-2.0,560.5,15.0,8762.0,0
1,0,0,1.0,1,3,0.0,-1.0,623.2,8.0,8311.0,0
2,0,0,6.0,1,3,0.0,-2.0,2680.0,100.0,20000.0,1
6,0,0,1.0,1,3,-1.0,-3.0,3957.7,322.0,1417499.0,1
2,0,0,7.0,1,3,0.0,-1.0,2431.0,200.0,25000.0,1
1,1,0,2.0,1,3,0.0,1.0,1209.35,75.0,15000.0,1
1,0,0,6.0,1,3,0.0,0.0,656.0,38.0,14715.0,0
6,1,0,2.0,1,3,0.0,1.0,1138.0,80.0,80872.0,1
2,0,0,1.0,1,3,0.0,-1.0,45.0,130.0,2071.0,0
0,0,0,1.0,1,3,0.0,-1.0,741.0,33.0,15930.0,1
3,0,1,1.0,1,3,2.0,0.0,1515.0,230.0,26460.0,0
0,0,0,1.0,1,3,-2.0,-2.0,413.0,120.0,48900.0,1
1,0,0,6.0,1,3,-2.0,-4.0,676.0,21.0,19393.0,0
0,1,1,3.0,1,3,4.0,2.0,663.0,8.0,14000.0,1
0,0,0,1.0,1,3,0.0,-4.0,819.85,50.0,11500.0,1
3,0,1,2.0,1,3,1.0,0.0,864.5,70.0,2071.0,0
1,0,1,3.0,1,3,2.0,-4.0,2365.0,90.0,15840.0,0
1,0,0,7.0,1,3,0.0,-2.0,8456.0,636.0,60986.0,0
6,0,0,1.0,1,3,0.0,0.0,9231.15,1100.0,34259.0,0
3,1,1,3.0,1,3,1.0,1.0,980.4,144.0,40000.0,1
1,0,0,1.0,1,3,-1.0,-2.0,6142.7,500.0,348100.0,1
1,0,0,7.0,1,3,-1.0,-2.0,893.0,22.0,10750.0,0
1,0,0,8.0,1,3,-1.0,-3.0,893.0,20.0,14650.0,0
1,0,0,2.0,1,3,-1.0,-2.0,4885.0,500.0,374060.0,1
1,0,1,1.0,1,3,1.0,-1.0,6898.0,885.0,800000.0,1
1,0,0,3.0,1,3,-1.0,-2.0,4885.0,500.0,306800.0,1
0,0,0,1.0,1,3,0.0,-1.0,400.0,48.0,40710.0,1
0,0,0,1.0,1,3,-2.0,-3.0,16.0,53.0,52880.0,1
1,0,0,1.0,0,3,0.0,-2.0,798.0,83.0,28910.0,1
0,0,1,1.0,1,3,1.0,0.0,856.9,80.0,12000.0,1
0,0,1,1.0,1,3,1.0,-1.0,568.1,18.0,19500.0,0
3,1,1,5.0,1,3,1.0,1.0,796.0,15.0,9440.0,0
1,0,0,8.0,1,3,0.0,0.0,902.0,64.0,20476.0,0
0,0,0,3.0,1,3,0.0,0.0,610.85,49.0,34633.0,0
0,0,0,2.0,1,3,-1.0,-3.0,1377.0,45.0,24999.0,0
0,1,1,2.0,1,3,1.0,2.0,775.2,60.0,8930.0,0
1,0,0,9.0,1,3,0.0,-1.0,4340.0,300.0,26604.0,0
1,0,1,4.0,1,3,1.0,-3.0,1446.0,150.0,240460.0,1
0,0,0,1.0,1,3,0.0,-2.0,2691.35,150.0,14993.0,0
0,0,0,4.0,1,3,0.0,-3.0,1030.0,52.0,37716.0,1
3,1,1,3.0,1,3,1.0,1.0,771.4,50.0,11800.0,1
0,0,1,4.0,1,3,1.0,0.0,4215.0,480.0,84600.0,0
1,0,0,5.0,1,3,-1.0,-3.0,4411.0,400.0,365800.0,1
0,0,1,6.0,1,3,1.0,-1.0,656.0,6.0,3120.0,0
0,0,0,10.0,1,3,0.0,-4.0,979.0,44.0,8694.0,0
1,0,0,1.0,1,3,0.0,-3.0,740.05,60.0,71980.0,0
1,0,0,11.0,1,3,0.0,-1.0,6291.0,200.0,61634.0,0
1,1,1,4.0,1,3,2.0,4.0,596.0,45.0,2360.0,0
0,1,1,5.0,1,3,1.0,1.0,2422.0,140.0,5900.0,0
0,0,1,6.0,1,3,1.0,-2.0,1435.0,35.0,5900.0,0
1,0,0,1.0,1,3,0.0,-1.0,2450.05,200.0,108647.0,0
1,0,1,1.0,0,3,1.0,-2.0,604.2,45.0,10000.0,0
0,0,0,3.0,1,3,-1.0,-1.0,1472.5,170.0,99828.0,1
1,0,0,2.0,1,3,0.0,-3.0,1189.0,20.0,29845.0,0
0,1,0,3.0,1,3,0.0,477.0,1715.0,45.0,19999.0,0
6,0,0,2.0,1,3,0.0,0.0,8156.0,920.0,29860.0,0
1,0,0,7.0,1,3,-2.0,0.0,595.0,10.0,4956.0,1
0,1,1,7.0,1,3,4.0,5.0,5915.0,615.0,63348.0,0
0,1,0,2.0,0,3,0.0,5.0,1413.0,129.0,15000.0,0
2,1,1,3.0,1,3,6.0,6.0,1092.5,65.0,15000.0,0
0,1,0,3.0,1,3,0.0,2.0,738.0,40.0,25000.0,0
0,0,0,12.0,1,3,0.0,-1.0,2745.0,60.0,20342.0,1
0,0,0,2.0,1,3,-1.0,-1.0,2040.0,200.0,25000.0,0
1,1,0,3.0,0,3,0.0,1.0,1812.0,65.0,144550.0,0
3,1,0,8.0,1,3,0.0,1.0,1477.0,10.0,10400.0,1
3,0,0,3.0,1,3,0.0,-2.0,2413.0,220.0,14797.0,0
0,0,0,1.0,1,3,0.0,-1.0,2066.0,180.0,245280.0,1
1,0,0,4.0,0,3,0.0,0.0,2071.0,215.0,75000.0,0
1,0,0,9.0,1,3,-1.0,-1.0,880.0,27.0,17775.0,0
1,1,1,1.0,1,3,1.0,4.0,1170.0,100.0,76360.0,0
0,1,1,8.0,1,3,1.0,5.0,2516.0,110.0,1770.0,0
1,0,0,1.0,1,3,0.0,0.0,537.0,45.0,42000.0,1
0,0,0,1.0,1,3,0.0,0.0,3256.0,120.0,488400.0,1
1,0,0,2.0,1,3,0.0,-2.0,537.0,30.0,40000.0,1
1,1,0,2.0,1,3,-1.0,2.0,1170.0,100.0,75520.0,0
1,1,0,5.0,0,3,-2.0,3.0,2790.0,200.0,25000.0,0
1,1,1,4.0,1,3,3.0,2.0,1071.0,110.0,26900.0,0
1,1,0,2.0,1,3,0.0,1.0,498.0,40.0,55460.0,1
1,1,1,1.0,1,3,5.0,10.0,617.0,10.0,1.0,1
1,0,0,18.0,1,3,0.0,0.0,1173.0,60.0,216000.0,1
1,0,0,13.0,1,3,0.0,-3.0,2817.0,188.0,8272.0,1
1,0,0,14.0,1,3,0.0,-4.0,950.0,68.0,15247.0,1
3,0,0,4.0,1,3,0.0,-2.0,698.0,30.0,7500.0,0
3,0,0,5.0,1,3,0.0,0.0,1940.0,60.0,15000.0,0
0,0,0,4.0,1,3,0.0,-1.0,643.0,50.0,34633.0,0
0,0,0,15.0,1,3,0.0,-2.0,3218.0,208.0,33560.0,1
0,1,1,3.0,1,3,1.0,2.0,891.1,70.0,4158.0,0
1,1,0,6.0,0,3,0.0,3.0,2209.0,160.0,30000.0,0
0,1,0,4.0,1,3,0.0,5.0,1254.0,110.0,17745.0,0
0,0,0,2.0,1,3,0.0,0.0,6495.0,350.0,1508910.0,1
3,0,1,5.0,1,3,2.0,-2.0,7272.0,750.0,150000.0,0
1,0,0,16.0,1,3,0.0,-3.0,2848.0,342.0,40915.0,1
1,1,0,7.0,0,3,0.0,1.0,3463.0,350.0,35000.0,0
1,0,0,1.0,1,3,0.0,0.0,656.0,50.0,10000.0,0
1,1,1,1.0,1,3,1.0,2.0,3123.0,310.0,42000.0,1
1,1,0,8.0,0,3,0.0,3.0,675.0,56.0,15000.0,0
1,1,0,9.0,0,3,0.0,3.0,1091.0,67.0,25000.0,0
1,0,0,2.0,1,3,-1.0,-1.0,1292.0,25.0,9735.0,0
3,0,0,5.0,1,3,0.0,-1.0,6224.0,600.0,66150.0,0
0,0,0,1.0,1,3,0.0,-2.0,737.0,60.0,11151.0,1
1,0,0,17.0,1,3,-1.0,-3.0,656.0,15.0,4842.0,1
1,0,0,18.0,1,3,-1.0,-3.0,5478.0,450.0,44027.0,1
1,1,0,10.0,0,3,0.0,7.0,1565.0,150.0,25000.0,0
0,1,0,1.0,1,3,0.0,4.0,333.0,85.0,55800.0,0
1,1,1,10.0,1,3,1.0,6.0,2873.0,137.0,99013.0,0
1,0,0,11.0,0,3,0.0,0.0,1993.0,195.0,100000.0,0
1,1,0,12.0,0,3,-1.0,1.0,825.0,80.0,200600.0,0
1,0,0,13.0,0,3,-1.0,-3.0,3482.0,346.0,1017278.0,0
1,0,0,14.0,0,3,0.0,-3.0,2751.0,300.0,195615.0,0
0,0,0,3.0,1,3,0.0,0.0,5888.0,200.0,25000.0,0
1,0,0,3.0,1,3,0.0,0.0,537.0,16.0,594.0,1
3,1,0,1.0,1,3,0.0,2.0,732.0,30.0,10640.0,0
0,0,0,4.0,1,3,0.0,0.0,1397.0,60.0,11500.0,0
1,1,1,2.0,1,3,465.0,2.0,656.0,50.0,12000.0,0
1,0,0,4.0,1,3,0.0,0.0,696.0,70.0,51300.0,1
1,1,0,5.0,1,3,0.0,1.0,537.0,42.0,40700.0,1
3,0,0,9.0,1,3,0.0,0.0,571.0,8.0,3250.0,1
1,1,0,15.0,0,3,-1.0,2.0,617.0,10.0,15000.0,0
1,1,1,16.0,0,3,464.0,1.0,498.0,40.0,10000.0,0
1,1,1,6.0,1,3,464.0,1.0,537.0,32.0,603.0,1
0,1,0,4.0,1,3,0.0,1.0,956.9,45.0,23499.0,0
1,0,1,17.0,0,3,463.0,-1.0,696.0,45.0,1921375.0,0
1,0,1,18.0,0,3,463.0,-1.0,696.0,45.0,1921375.0,0
1,0,0,19.0,0,3,0.0,0.0,1282.0,160.0,25000.0,0
1,1,1,9.0,1,3,1.0,2.0,2257.0,260.0,5900.0,0
1,0,0,20.0,0,3,0.0,0.0,1828.0,187.0,15000.0,0
3,0,0,6.0,1,3,0.0,-3.0,1186.0,65.0,15000.0,0
0,0,0,1.0,1,3,0.0,0.0,863.0,12.0,15948.0,1
6,1,0,7.0,1,3,0.0,26.0,4234.0,98.0,22500.0,0
1,1,1,19.0,1,3,1.0,1.0,940.0,72.0,3516.0,1
1,0,0,21.0,0,3,0.0,-1.0,636.0,30.0,2500.0,0
1,1,0,22.0,0,3,0.0,8.0,636.0,30.0,6500.0,0
1,0,0,23.0,0,3,0.0,-2.0,788.0,30.0,9750.0,0
1,1,0,24.0,0,3,0.0,1.0,617.0,30.0,7500.0,0
1,1,0,25.0,0,3,0.0,3.0,617.0,30.0,9500.0,0
1,1,0,26.0,0,3,0.0,1.0,1245.0,90.0,25000.0,0
1,0,0,7.0,1,3,0.0,0.0,537.0,15.0,38350.0,1
0,0,1,5.0,1,3,1.0,-1.0,618.0,15.0,29845.0,0
1,1,0,10.0,1,3,0.0,2.0,1340.0,120.0,4720.0,0
1,0,0,27.0,0,3,0.0,-2.0,3312.0,210.0,45000.0,0
